title;regular_price;meta:unit;meta:sqm_per_unit;images;description;short_description;sku;meta:color;meta:length;meta:width;meta:toplayer_height;meta:height;meta:dessin;meta:type;meta:weight_per_sqm;meta:way_of_application;brand;collection;serie;categories;https://test.vloerenraamdecor.nl/import-images/ambiant/description/main_image/description_thumb.jpg
Sentima Beige;29.95;;5.02;;6011.8311.1.9;;8717003411598';Beige;121.9;22.9;0.3;2;;;;;Ambiant;Sentima;;"Vloeren > PVC Vloeren > Ambiant > Sentima; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6011831119/main_image/6011831119_thumb.jpg
Sentima Dark oak;29.95;;5.02;;6011.8310.1.9;;8717003411581';Dark oak;121.9;22.9;0.3;2;;;;;Ambiant;Sentima;;"Vloeren > PVC Vloeren > Ambiant > Sentima; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6011831019/main_image/6011831019_thumb.jpg
Sentima Natural oak;29.95;;5.02;;6011.8313.1.9;;'8717003411611';Natural oak;121.9;22.9;0.3;2;;;;;Ambiant;Sentima;;"Vloeren > PVC Vloeren > Ambiant > Sentima; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6011831319/main_image/6011831319_thumb.jpg
Sentima smoky;29.95;;5.02;;6011.8312.1.9;;'8717003411604';Smoky;121.9;22.9;0.3;2;;;;;Ambiant;Sentima;;"Vloeren > PVC Vloeren > Ambiant > Sentima; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6011831219/main_image/6011831219_thumb.jpg
Venera Beige;29.95;;4.1;;6311.8512.1.9;;'8717003411741';Beige;122.9;23.8;0.3;2;;;;;Ambiant;Venera;;"Vloeren > PVC Vloeren > Ambiant > Venera; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6311851219/main_image/6311851219_thumb.jpg
Venera Dark oak;29.95;;4.1;;6311.8511.1.9;;'8717003411734';Dark oak;122.9;23.8;0.3;2;;;;;Ambiant;Venera;;"Vloeren > PVC Vloeren > Ambiant > Venera; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6311851119/main_image/6311851119_thumb.jpg
Venera Natural oak;29.95;;4.1;;6311.8513.1.9;;'8717003411758';Natural oak;122.9;23.8;0.3;2;;;;;Ambiant;Venera;;"Vloeren > PVC Vloeren > Ambiant > Venera; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6311851319/main_image/6311851319_thumb.jpg
Venera Smoky;29.95;;4.1;;6311.8510.1.9;;'8717003411727';Smoky;122.9;23.8;0.3;2;;;;;Ambiant;Venera;;"Vloeren > PVC Vloeren > Ambiant > Venera; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6311851019/main_image/6311851019_thumb.jpg
Navaro Beige;37.95;;4.46;;6811.7510.1.9;;'8717003412205';Beige;121.9;22.9;0.55;2.5;;;;;Ambiant;Navaro;;"Vloeren > PVC Vloeren > Ambiant > Navaro; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6811751019/main_image/6811751019_thumb.jpg
Navaro Dark oak;37.95;;4.46;;6811.7511.1.9;;'8717003412212';Dark oak;121.9;22.9;0.55;2.5;;;;;Ambiant;Navaro;;"Vloeren > PVC Vloeren > Ambiant > Navaro; Vloeren > PVC Vloeren > Ambiant; Vloeren > PVC Vloeren; Vloeren";https://test.vloerenraamdecor.nl/import-images/ambiant/6811751119/main_image/6811751119_thumb.jpg
