title;regular_price;meta:unit;meta:sqm_per_unit;images;description;short_description;sku;meta:color;meta:length;meta:width;meta:toplayer_height;meta:height;meta:dessin;meta:type;meta:weight_per_sqm;meta:way_of_application;brand;collection;serie;categories
Therdex Authentic kleur 15061;49.95;pak;3.484;https://test.vloerenraamdecor.nl/import-images/therdex/15061.jpg;;;T15061;;152.4;22.8;0.55;2.5;registered embossed;;5178;Dryback;Therdexn;Authentic;;"Vloeren > PVC Vloeren > Therdexn > Authentic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Authentic kleur 15062;49.95;pak;3.484;https://test.vloerenraamdecor.nl/import-images/therdex/15062.jpg;;;T15062;;152.4;22.8;0.55;2.5;registered embossed;;5178;Dryback;Therdexn;Authentic;;"Vloeren > PVC Vloeren > Therdexn > Authentic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Authentic kleur 15063;49.95;pak;3.484;https://test.vloerenraamdecor.nl/import-images/therdex/15063.jpg;;;T15063;;152.4;22.8;0.55;2.5;registered embossed;;5178;Dryback;Therdexn;Authentic;;"Vloeren > PVC Vloeren > Therdexn > Authentic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Authentic kleur 15064;49.95;pak;3.484;https://test.vloerenraamdecor.nl/import-images/therdex/15064.jpg;;;T15064;;152.4;22.8;0.55;2.5;registered embossed;;5178;Dryback;Therdexn;Authentic;;"Vloeren > PVC Vloeren > Therdexn > Authentic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Basic kleur 2010-2;34.95;pak;4.185;https://test.vloerenraamdecor.nl/import-images/therdex/2010.jpg;;;T2010-2;;121.9;22.8;0.3;2;universal embossed;;3452;Dryback;Therdexn;Basic;;"Vloeren > PVC Vloeren > Therdexn > Basic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Basic kleur 2040-2;34.95;pak;4.185;https://test.vloerenraamdecor.nl/import-images/therdex/2040.jpg;;;T2040-2;;121.9;22.8;0.3;2;universal embossed;;3452;Dryback;Therdexn;Basic;;"Vloeren > PVC Vloeren > Therdexn > Basic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Basic kleur 2050-2;34.95;pak;4.185;https://test.vloerenraamdecor.nl/import-images/therdex/2050.jpg;;;T2050-2;;121.9;22.8;0.3;2;universal embossed;;3452;Dryback;Therdexn;Basic;;"Vloeren > PVC Vloeren > Therdexn > Basic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Basic kleur 2060-2;34.95;pak;4.185;https://test.vloerenraamdecor.nl/import-images/therdex/2060.jpg;;;T2060-2;;121.9;22.8;0.3;2;universal embossed;;3452;Dryback;Therdexn;Basic;;"Vloeren > PVC Vloeren > Therdexn > Basic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Basic kleur 4210-2;34.95;pak;4.185;https://test.vloerenraamdecor.nl/import-images/therdex/4210.jpg;;;T4210-2;;121.9;22.8;0.3;2;universal embossed;;3452;Dryback;Therdexn;Basic;;"Vloeren > PVC Vloeren > Therdexn > Basic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Basic kleur 4230-2;34.95;pak;4.185;https://test.vloerenraamdecor.nl/import-images/therdex/4230.jpg;;;T4230-2;;121.9;22.8;0.3;2;universal embossed;;3452;Dryback;Therdexn;Basic;;"Vloeren > PVC Vloeren > Therdexn > Basic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Basic kleur 4250-2;34.95;pak;4.185;https://test.vloerenraamdecor.nl/import-images/therdex/4250.jpg;;;T4250-2;;121.9;22.8;0.3;2;universal embossed;;3452;Dryback;Therdexn;Basic;;"Vloeren > PVC Vloeren > Therdexn > Basic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Basic kleur 4270-2;34.95;pak;4.185;https://test.vloerenraamdecor.nl/import-images/therdex/4270.jpg;;;T4270-2;;121.9;22.8;0.3;2;universal embossed;;3452;Dryback;Therdexn;Basic;;"Vloeren > PVC Vloeren > Therdexn > Basic; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Chevron kleur 6041;49.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/6041.jpg;;;T6041;;60.96;15.24;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Chevron;;"Vloeren > PVC Vloeren > Therdexn > Chevron; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Chevron kleur 6042;49.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/6042.jpg;;;T6042;;60.96;15.24;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Chevron;;"Vloeren > PVC Vloeren > Therdexn > Chevron; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
Therdex Chevron kleur 6043;49.95;pak;3.345;https://test.vloerenraamdecor.nl/import-images/therdex/6043.jpg;;;T6043;;60.96;15.24;0.55;2.5;registered embossed;;4315;Dryback;Therdexn;Chevron;;"Vloeren > PVC Vloeren > Therdexn > Chevron; Vloeren > PVC Vloeren > Therdexn; Vloeren > PVC Vloeren; Vloeren"
