title,regular_price,meta:unit,meta:sqm_per_unit,images,description,short_description,sku,meta:color,meta:length,meta:width,meta:toplayer_height,meta:height,meta:dessin,meta:type,meta:weight_per_sqm,meta:way_of_application,brand,collection,serie,categories
Light grey,45.95,pak,4.181,https://test.vloerenraamdecor.nl/import-images/ambiant/6207625019/main_image/6207625019_thumb.jpg,,,'8717003398448',,91.4,45.7,0.55,2.5,,Dryback,,,VTWonen,Basic,,"Vloeren > PVC Vloeren > VTWonen > Basic, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
Dark grey,45.95,pak,4.181,https://test.vloerenraamdecor.nl/import-images/ambiant/6207625119/main_image/6207625119_thumb.jpg,,,'8717003398455',,91.4,45.7,0.55,2.5,,Dryback,,,VTWonen,Basic,,"Vloeren > PVC Vloeren > VTWonen > Basic, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
Light grey,45.95,pak,5.012,https://test.vloerenraamdecor.nl/import-images/ambiant/6206525019/main_image/6206525019_thumb.jpg,,,'8717003398424',,91.4,91.4,0.55,2.5,,Dryback,,,VTWonen,Basic XL,,"Vloeren > PVC Vloeren > VTWonen > Basic XL, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
Dark grey,45.95,pak,5.012,https://test.vloerenraamdecor.nl/import-images/ambiant/6206525119/main_image/6206525119_thumb.jpg,,,'8717003398431',,91.4,91.4,0.55,2.5,,Dryback,,,VTWonen,Basic XL,,"Vloeren > PVC Vloeren > VTWonen > Basic XL, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
Light grey,45.95,pak,4.181,https://test.vloerenraamdecor.nl/import-images/ambiant/6205214019/main_image/6205214019_thumb.jpg,,,'8717003398387',,91.4,45.7,0.55,2.5,,Dryback,,,VTWonen,Composite,,"Vloeren > PVC Vloeren > VTWonen > Composite, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
Warm grey,45.95,pak,4.181,https://test.vloerenraamdecor.nl/import-images/ambiant/6205214119/main_image/6205214119_thumb.jpg,,,'8717003398394',,91.4,45.7,0.55,2.5,,Dryback,,,VTWonen,Composite,,"Vloeren > PVC Vloeren > VTWonen > Composite, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
Antracite,45.95,pak,4.181,https://test.vloerenraamdecor.nl/import-images/ambiant/6205214219/main_image/6205214219_thumb.jpg,,,'8717003398400',,91.4,45.7,0.55,2.5,,Dryback,,,VTWonen,Composite,,"Vloeren > PVC Vloeren > VTWonen > Composite, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
Grey,45.95,pak,4.181,https://test.vloerenraamdecor.nl/import-images/ambiant/6205214319/main_image/6205214319_thumb.jpg,,,'8717003398417',,91.4,45.7,0.55,2.5,,Dryback,,,VTWonen,Composite,,"Vloeren > PVC Vloeren > VTWonen > Composite, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
Light grey,45.95,pak,5.012,https://test.vloerenraamdecor.nl/import-images/ambiant/6204213019/main_image/6204213019_thumb.jpg,,,'8717003398349',,91.4,91.4,0.55,2.5,,Dryback,,,VTWonen,Composite XL,,"Vloeren > PVC Vloeren > VTWonen > Composite XL, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
Warm grey,45.95,pak,5.012,https://test.vloerenraamdecor.nl/import-images/ambiant/6204213119/main_image/6204213119_thumb.jpg,,,'8717003398356',,91.4,91.4,0.55,2.5,,Dryback,,,VTWonen,Composite XL,,"Vloeren > PVC Vloeren > VTWonen > Composite XL, Vloeren > PVC Vloeren > VTWonen, Vloeren > PVC Vloeren, Vloeren"
